POINT_X         POINT_Y        POINT_Z
-88.15104700470 29.55648180210 0
-88.14076240020 29.55573714450 0
-88.13047798020 29.55499151270 0
-88.12019374500 29.55424490670 0
-88.10990969480 29.55349732660 0
-88.09962582970 29.55274877240 0
-88.08934215020 29.55199924420 0
-88.07905865630 29.55124874180 0
-88.06877534830 29.55049726550 0
-88.02764398050 29.54748162000 0
-87.93510937130 29.54063944490 0
-87.63704742300 29.51805598530 0
-87.62677233250 29.51726264560 0
-87.61649743820 29.51646833290 0
-87.60622274050 29.51567304710 0
-87.59594823950 29.51487678820 0
-87.58567393550 29.51407955640 0
-87.57539982870 29.51328135150 0
-87.56512591930 29.51248217370 0
-87.55485220760 29.51168202300 0
-87.54457869390 29.51088089930 0
-87.35968955670 29.49629432820 0
-87.34941984780 29.49547472320 0
-87.33915034150 29.49465414570 0
