AL, 09, 2008090518,   , BEST,   0, 232N,  634W, 100,  959, HU,  64, NEQ,   40,   35,   30,   35, 1013,  180,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  34, NEQ,  105,   90,   90,  110, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  50, NEQ,   50,   50,   45,   50, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  34, NEQ,  105,   90,   90,  115, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  50, NEQ,   60,   50,   45,   50, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  34, NEQ,  110,   90,   90,  120, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  50, NEQ,   60,   60,   45,   50, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
